original_name,aligned_name,accepted_name,suggested_name,genus,family,taxon_rank,taxonomic_dataset,taxonomic_status,taxonomic_status_aligned,aligned_reason,update_reason,subclass,taxon_distribution,scientific_name,taxon_ID,taxon_ID_genus,scientific_name_ID,canonical_name,row_number,number_of_collapsed_taxa
Abutilon julianae,Abutilon julianae,Abutilon julianae,Abutilon julianae,Abutilon,Malvaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NI,Abutilon julianae Endl.,https://id.biodiversity.org.au/node/apni/2900707,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/name/apni/56543,Abutilon julianae,1,NA
Acacia ammophila,Acacia ammophila,Acacia ammophila,Acacia ammophila,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia ammophila Pedley,https://id.biodiversity.org.au/node/apni/2899480,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58340,Acacia ammophila,2,NA
Acacia anomala,Acacia anomala,Acacia anomala,Acacia anomala,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia anomala C.A.Gardner ex Court,https://id.biodiversity.org.au/node/apni/2914483,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58556,Acacia anomala,3,NA
Acacia aphylla,Acacia aphylla,Acacia aphylla,Acacia aphylla,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia aphylla Maslin,https://id.biodiversity.org.au/node/apni/2913504,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58565,Acacia aphylla,4,NA
Acacia aprica,Acacia aprica,Acacia aprica,Acacia aprica,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia aprica Maslin & A.R.Chapm.,https://id.biodiversity.org.au/node/apni/2903843,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/149911,Acacia aprica,5,NA
Acacia araneosa,Acacia araneosa,Acacia araneosa,Acacia araneosa,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,SA,Acacia araneosa Whibley,https://id.biodiversity.org.au/node/apni/2919802,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58598,Acacia araneosa,6,NA
Acacia aristulata,Acacia aristulata,Acacia aristulata,Acacia aristulata,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia aristulata Maslin,https://id.biodiversity.org.au/node/apni/2909621,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/150783,Acacia aristulata,7,NA
Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Acacia,Fabaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia ataxiphylla subsp. magna Maslin,https://id.biodiversity.org.au/node/apni/2905184,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/141458,Acacia ataxiphylla subsp. magna,8,NA
Acacia attenuata,Acacia attenuata,Acacia attenuata,Acacia attenuata,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia attenuata Maiden & Blakely,https://id.biodiversity.org.au/node/apni/2887463,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58907,Acacia attenuata,9,NA
Acacia auratiflora,Acacia auratiflora,Acacia auratiflora,Acacia auratiflora,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia auratiflora R.S.Cowan & Maslin,https://id.biodiversity.org.au/node/apni/2913715,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/150778,Acacia auratiflora,10,NA
