Species,Old diseased site,Healthy Zone,Relative susceptibility,Location
Daviesia uticifolia,< 5% (few),5-20%,2,Kinglake National Park
Dillwynia phylicoides,< 5% (few),5-20%,2,Kinglake National Park
Eucalyptus dives,5-20%,20-50%,2,Kinglake National Park
Eucalyptus macrorhyncha,5-20%,20-50%,2,Kinglake National Park
Pultenaea gunnii,< 5% (few),< 5% (many),2,Kinglake National Park
Xanthorrhoea australis,absent,50-75%,3,Kinglake National Park
Dampiera stricta,< 5% (many),< 5% (few),0,Kinglake National Park
Gahnia sieberiana,5-20%,< 5% (few),0,Kinglake National Park
Grevillea repens,5-20%,< 5% (many),0,Kinglake National Park
Kunzea ericifolia,< 5% (few),absent,0,Kinglake National Park
Lepidosperma laterale,5-20%,< 5% (few),0,Kinglake National Park
Lepidosperma semiteres,5-20%,< 5% (few),0,Kinglake National Park
Stylidium graminifolium,< 5% (many),< 5% (few),0,Kinglake National Park
Acacia gunnii,< 5% (few),absent,0,Kinglake National Park
Acacia mucronata,< 5% (few),absent,0,Kinglake National Park
Baeckea ramosissima,< 5% (many),< 5% (few),1,Kinglake National Park
Banksia marginata,< 5% (few),< 5% (few),0,Kinglake National Park
Banksia spinulosa,absent,< 5% (few),0,Kinglake National Park
Brachyscome multifida,< 5% (few),< 5% (few),0,Kinglake National Park
Burchardia uvnbellata,< 5% (many),< 5% (many),0,Kinglake National Park
Caladenia iridescens,< 5% (few),< 5% (few),0,Kinglake National Park
Callitris rhomboidea,absent,< 5% (few),0,Kinglake National Park
Calochilus robertsonii,< 5% (few),< 5% (few),0,Kinglake National Park
Cassinia aculeata,< 5% (few),< 5% (few),0,Kinglake National Park
Chionochloa pallida,5-20%,5-20%,0,Kinglake National Park
Correa reflexa,< 5% (few),< 5% (few),0,Kinglake National Park
Danthonia geniculata,< 5% (many),< 5% (many),0,Kinglake National Park
Deyeuxia quadriseta,< 5% (few),< 5% (few),0,Kinglake National Park
Dipodium roseum,< 5% (few),< 5% (few),0,Kinglake National Park
Drosera peltata,< 5% (many),< 5% (many),0,Kinglake National Park
Epacris impressa,< 5% (many),< 5% (many),0,Kinglake National Park
Eucalyptus obliqua,< 5% (few),< 5% (few),0,Kinglake National Park
Genoplesilun morrissii,< 5% (few),< 5% (few),0,Kinglake National Park
Gompholobium huegelii,< 5% (many),< 5% (many),1,Kinglake National Park
Gonocarpus tetragynus,< 5% (few),< 5% (few),0,Kinglake National Park
Hardenbergia violacea,< 5% (many),< 5% (many),0,Kinglake National Park
Hibbertia prostrata,< 5% (few),< 5% (few),0,Kinglake National Park
Hovea lineans,< 5% (many),< 5% (many),0,Kinglake National Park
ptospermum continentale,< 5% (few),< 5% (few),0,Kinglake National Park
ucopogon ericoides,< 5% (few),< 5% (few),0,Kinglake National Park
Lomatia ilicifolia,< % (many),< 5% (many),0,Kinglake National Park
onotoca scoparia,< 5% (few),< 5% (few),0,Kinglake National Park
Opercularia varia,< 5% (many),< 5% (many),0,Kinglake National Park
Pimelea linifolia,< 5% (few),< 5% (few),0,Kinglake National Park
Pterostylis parviflora,< 5% (few),< 5% (few),0,Kinglake National Park
Rhytidosporum procumbens,< 5% (few),absent,0,Kinglake National Park
