Species,Subgenus,Section,Series,Taxonomy,State(s),Obligate seeder,AOO (km2),EOO (km2),Geographic Range (km2),Habitat,EPD %,EPD (%) P,EPD (%) M,EPD (%) Urban,EPD (%) A,Category,Criteria,EPBC,State listing,EEC,Threats,Locations,Locations_value_type,TEC,Mature individuals,Mature_individuals_value_type,Largest sub-population,Accepted threats,Putative threats
Angophora bakeri,Angophora,,Angophora,,NSW; Qld,0,616,88930.43,13651.3,U,19,,,19,,LC,,,,,Urbanisation,200--300,range,,,,,,
Angophora costata,Angophora,,Cosatitae,,ACT; NSW; Qld; Vic,0,732,656988,38830.3,M,18.45,,,18.45,,LC,,,,,Urbanisation,2000--10000,range,,,,,,
Angophora floribunda,Angophora,,Angophora,,ACT; NSW; Qld; Vic,0,1820,1106392.82,471067.6,M,22.59,,22.59,,,NT,A2b,,,,0,,,,,,,,
Angophora hispida,Angophora,,Angophora,,NSW; Qld,0,392,8987.43,8790.8,U,24.7,,,24.7,,NT,A2b,,,,Urbanisation,30--50,range,,,,,,
Angophora inopina,Angophora,,Angophora,,NSW,0,148,1886.38,446.5,M,28.78,,,28.78,,NT,A2b,VU,VU (NSW),,Urbanisation,26,raw,,10000.00,minimum,,Urbanisation,"Weeds, too-frequent fire, urbanisation"
Angophora leiocarpa,Angophora,,Cosatitae,,NSW; Qld,0,940,447878.45,234889.6,U,,,,,,LC,,,,,0,,,,,,,,
Angophora melanoxylon,Angophora,,Angophora,,NSW; Qld,0,360,192727.53,129249.1,M,17.89,,17.89,,,LC,,,,,0,,,,,,,,
Angophora robur,Angophora,,Angophora,,NSW,0,108,1811.1,1811.1,M,12.26,,12.26,,,LC,,VU,VU (NSW),,0,,,,10000.00,minimum,,,"Roads/ utilities, agriculture, timber harvesting"
Angophora subvelutina,Angophora,,Angophora,,NSW; Qld,0,608,264750.03,100083.5,M,17.63,,17.63,,,LC,,,,,0,,,,,,,,
Angophora woodsiana,Angophora,,Angophora,,NSW; Qld,0,268,44537.44,10386.5,U,18,,,18,,LC,,,,,Urbanisation,50--100,range,,,,,,
Corymbia abbreviata,Corymbia,Septentrionales,Terminalipterae,,WA; NT,0,224,65851.11,54083.1,,,,,,,LC,,,,,0,,,,,,,,
Corymbia abergiana,Corymbia,Septentrionales,Dorsiventrales,,Qld,0,292,14791.62,10435.2,M,6.95,,6.95,,,LC,,,,,0,,,,,,,,
Corymbia aparrerinja,Blakella,Abbreviatae,Scutiformes,,WA; NT; Qld; SA,0,904,702986.33,680487.4,,,,,,,LC,,,,,0,,,,,,,,
Corymbia arafurica,Blakella,Extensae,,,NT,0,284,414219.51,168572.4,,,,,,,LC,,,,,0,,,,,,,,
Corymbia arenaria,Corymbia,Septentrionales,Dorsiventrales,,WA; NSW; NT; SA; Vic,0,184,69532,40312.2,,,,,,,LC,,,,,0,,,,,,,,
Corymbia arnhemensis,Corymbia,Septentrionales,Dorsiventrales,,NT; Qld,0,300,51615.12,51259.8,,,,,,,LC,,,,,0,,,,,,,,
Corymbia aspera,Blakella,Abbreviatae,Scutiformes,,WA; NSW; NT; Qld; SA,0,840,1993015.62,1110729.7,,,,,,,LC,,,,,0,,,,,,,,
Corymbia aureola,Corymbia,Septentrionales,Naviculares,,Qld,0,40,916.66,104.1,U,,,,,,LC,,,,,0,,,,,,,,
Corymbia bella,Blakella,Extensae,,,WA; NT; Qld,0,1080,1782100.23,704324.6,,,,,,,LC,,,,,0,,,,,,,,
Corymbia blakei,Blakella,Abbreviatae,Scutiformes,,NSW; Qld,0,312,224821.87,224821.9,,,,,,,LC,,,,,0,,,,,,,,
Corymbia bleeseri,Corymbia,Septentrionales,Isobilaterales,,WA; NT,0,844,607569.81,297141.4,,,,,,,LC,,,,,0,,,,,,,,
Corymbia bloxsomei,Corymbia,Septentrionales,Naviculares,,Qld,0,220,9663.61,8066.6,U,,,,,,LC,,,,,0,,,,,,,,
Corymbia brachycarpa,Corymbia,Septentrionales,Dorsiventrales,,Qld,0,336,121859.61,49634.7,M,15.41,,15.41,,,LC,,,,,0,,,,,,,,
Corymbia bunites,Corymbia,Septentrionales,Naviculares,,Qld,0,172,6374.49,1666.7,U,,,,,,LC,,,,,0,,,,,,,,
Corymbia cadophora,Corymbia,Septentrionales,Terminalipterae,,Tas,0,576,144018.61,108850.4,,,,,,,LC,,,,,0,,,,,,,,
Corymbia calophylla,Corymbia,Notiales,Cymbiformes,,WA,0,1556,131632.3,77125.9,M,24.5,,24.5,,,NT,A2b,,,,0,,,,,,,,
Corymbia candida,Blakella,Abbreviatae,Scutiformes,,WA; NT,0,944,1350671.26,1071782.4,,,,,,,LC,,,,,0,,,,,,,,
Corymbia chartacea,Corymbia,Septentrionales,Terminalipterae,,NT,0,256,49840.49,38476.6,,,,,,,LC,,,,,0,,,,,,,,
Corymbia chippendalei,Corymbia,Septentrionales,Isobilaterales,,WA; NT; SA,0,556,892135.64,882311.4,,,,,,,LC,,,,,0,,,,,,,,
