gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
3090473490				CC_BY_NC_4_0	2021-04-23T09:25:35Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456629							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: probably incorrect, misleading report from ErM perspective (this group of Ericaceae family is ErM; in this study 30% reports conflict with predictions)	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741973				2017-12				2017	12													OCEANIA				AU													-34.6	150.8																																6971016										8241								Woollsia pungens (Cav.) F.Muell.								Plantae	Tracheophyta	Magnoliopsida	Ericales		Ericaceae				Woollsia	Woollsia			pungens			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.955Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	4010306	4010306	6	7707728	220	1353	2505	7288544		4010306	Woollsia pungens	Woollsia pungens (Cav.) F.Muell.	Woollsia pungens (Cav.) F.Muell.		DWC_ARCHIVE	2025-02-06T18:04:31.955Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473489				CC_BY_NC_4_0	2021-04-23T09:25:31Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456615							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: probably incorrect, misleading report from ErM perspective (this group of Ericaceae family is ErM; in this study 30% reports conflict with predictions)	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741959				2017-05				2017	5													OCEANIA				AU													-34.6	150.8																																6971002										4554								Epacris longiflora Cav.								Plantae	Tracheophyta	Magnoliopsida	Ericales		Ericaceae				Epacris	Epacris			longiflora			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.984Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	5642811	5642811	6	7707728	220	1353	2505	5428534		5642811	Epacris longiflora	Epacris longiflora Cav.	Epacris longiflora Cav.		DWC_ARCHIVE	2025-02-06T18:04:31.984Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473488				CC_BY_NC_4_0	2021-04-23T09:25:32Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456617							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: misleading report from ErM perspective (this group of Ericaceae family is ErM; in this study 30% reports conflict with predictions)	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741961				2017-12				2017	12													OCEANIA				AU													-34.6	150.8																																6971004										4554								Epacris longiflora Cav.								Plantae	Tracheophyta	Magnoliopsida	Ericales		Ericaceae				Epacris	Epacris			longiflora			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.983Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	5642811	5642811	6	7707728	220	1353	2505	5428534		5642811	Epacris longiflora	Epacris longiflora Cav.	Epacris longiflora Cav.		DWC_ARCHIVE	2025-02-06T18:04:31.983Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473485				CC_BY_NC_4_0	2021-04-23T09:25:35Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456628							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: probably incorrect, misleading report from ErM perspective (this group of Ericaceae family is ErM; in this study 30% reports conflict with predictions)	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741972				2017-08				2017	8													OCEANIA				AU													-34.6	150.8																																6971015										8241								Woollsia pungens (Cav.) F.Muell.								Plantae	Tracheophyta	Magnoliopsida	Ericales		Ericaceae				Woollsia	Woollsia			pungens			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.955Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	4010306	4010306	6	7707728	220	1353	2505	7288544		4010306	Woollsia pungens	Woollsia pungens (Cav.) F.Muell.	Woollsia pungens (Cav.) F.Muell.		DWC_ARCHIVE	2025-02-06T18:04:31.955Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473478				CC_BY_NC_4_0	2021-04-23T09:25:35Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456627							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: probably incorrect, misleading report from ErM perspective (this group of Ericaceae family is ErM; in this study 30% reports conflict with predictions)	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741971				2017-05				2017	5													OCEANIA				AU													-34.6	150.8																																6971014										8241								Woollsia pungens (Cav.) F.Muell.								Plantae	Tracheophyta	Magnoliopsida	Ericales		Ericaceae				Woollsia	Woollsia			pungens			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.955Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	4010306	4010306	6	7707728	220	1353	2505	7288544		4010306	Woollsia pungens	Woollsia pungens (Cav.) F.Muell.	Woollsia pungens (Cav.) F.Muell.		DWC_ARCHIVE	2025-02-06T18:04:31.955Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473477				CC_BY_NC_4_0	2021-04-23T09:25:34Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456626							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: in this study 30% reports conflict with predictions	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741970				2017-12				2017	12													OCEANIA				AU													-34.6	150.8																																6971013										580694								Pelargonium australe (Poir.) Jacq.								Plantae	Tracheophyta	Magnoliopsida	Geraniales		Geraniaceae				Pelargonium	Pelargonium			australe			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.955Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	7268604	7268604	6	7707728	220	624	4676	9348640		7268604	Pelargonium australe	Pelargonium australe (Poir.) Jacq.	Pelargonium australe (Poir.) Jacq.		DWC_ARCHIVE	2025-02-06T18:04:31.955Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473476				CC_BY_NC_4_0	2021-04-23T09:25:34Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456625							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: in this study 30% reports conflict with predictions	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741969				2017-08				2017	8													OCEANIA				AU													-34.6	150.8																																6971012										580694								Pelargonium australe (Poir.) Jacq.								Plantae	Tracheophyta	Magnoliopsida	Geraniales		Geraniaceae				Pelargonium	Pelargonium			australe			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.954Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	7268604	7268604	6	7707728	220	624	4676	9348640		7268604	Pelargonium australe	Pelargonium australe (Poir.) Jacq.	Pelargonium australe (Poir.) Jacq.		DWC_ARCHIVE	2025-02-06T18:04:31.954Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473475				CC_BY_NC_4_0	2021-04-23T09:25:33Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456620							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: in this study 30% reports conflict with predictions	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741964				2017-12				2017	12													OCEANIA				AU													-34.6	150.8																																6971007										288163								Ficinia nodosa (Rottb.) Goetgh., Muasya & D.A.Simpson								Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Ficinia	Ficinia			nodosa			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.955Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	2711622	2711622	6	7707728	196	1369	7708	2706962		2711622	Ficinia nodosa	Ficinia nodosa (Rottb.) Goetgh., Muasya & D.A.Simpson	Ficinia nodosa (Rottb.) Goetgh., Muasya & D.A.Simpson		DWC_ARCHIVE	2025-02-06T18:04:31.955Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473474				CC_BY_NC_4_0	2021-04-23T09:25:33Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456623							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: in this study 30% reports conflict with predictions	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741967				2017-12				2017	12													OCEANIA				AU													-34.6	150.8																																6971010										292208								Lepidosperma viscidum R.Br.								Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Lepidosperma	Lepidosperma			viscidum			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.953Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	2731189	2731189	6	7707728	196	1369	7708	2731128		2731189	Lepidosperma viscidum	Lepidosperma viscidum R.Br.	Lepidosperma viscidum R.Br.		DWC_ARCHIVE	2025-02-06T18:04:31.953Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
3090473473				CC_BY_NC_4_0	2021-04-23T09:25:34Z			Kessy Abarenkov				81127			FungalRoot - Mycorrhiza intensity project		HUMAN_OBSERVATION				4456624							individuals											PRESENT				Julia T Rayment, Shae Jones, Kris French. 2020. Seasonal patterns of fungal colonisation in Australian native plants of different ages.				Remark by Leho Tedersoo: in this study 30% reports conflict with predictions	<method-wrapper '__str__' of NoneType object at 0x9076e0>										https://app.plutof.ut.ee/event/view/4741968				2017-05				2017	5													OCEANIA				AU													-34.6	150.8																																6971011										580694								Pelargonium australe (Poir.) Jacq.								Plantae	Tracheophyta	Magnoliopsida	Geraniales		Geraniaceae				Pelargonium	Pelargonium			australe			SPECIES				ACCEPTED			744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	EE	2025-02-06T18:04:31.954Z						GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;PRESUMED_NEGATED_LATITUDE;TAXON_MATCH_TAXON_ID_IGNORED		true	true	7268604	7268604	6	7707728	220	624	4676	9348640		7268604	Pelargonium australe	Pelargonium australe (Poir.) Jacq.	Pelargonium australe (Poir.) Jacq.		DWC_ARCHIVE	2025-02-06T18:04:31.954Z	2025-01-23T13:33:20.411Z	true			false	OCEANIA	EUROPE	AUS	Australia	AUS.5_1	New South Wales	AUS.5.116_1	Shellharbour			NE
