taxon_name,original_text,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Caesia alpina,"Distribution and occurrence: Grows in moist granite-derived soils; south from Cathedral Rock N.P.NSW subdivisions: NT, CT, ST Other Australian states: Vic. Tas.", grows in moist granitederived soils south from cathedral rock np  ,,,,,,,moist,moist,,,,,,,granitic,granitederived,,,,
Caesia calliantha,"Distribution and occurrence: Usually grows in grassy understorey of sclerophyll forest on damp sandy or clay soil; south from Glen Innes district.NSW subdivisions: NT, ST, NWS, SWS, NWP Other Australian states: Vic. Tas. S.A.", usually grows in grassy understorey of sclerophyllforest on damp sandy or clay soil south from glen innes district  ,,,,,,,damp,damp,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,clay sand,clay sandy,,
Caesia parviflora,"Distribution and occurrence: Grows in heath, woodland and dry sclerophyll forest on sandstone-derived soils; west to Carabost area.NSW subdivisions: NC, CC, SC, NT, CT, NWS, CWS, SWS Other Australian states: Qld Vic. Tas. S.A. W.A. Distinction between var. vittata and var. parviflora is unclear. Live material is needed for positive identification. Some herbarium material identified as var. parviflora may represent var. vittata, and their distributions given here may not represent their true geographic ranges.", grows in heath woodland and drysclerophyllforest on sandstonederived soils west to carabost area  ,,,,,,,dry,drys,,,forest_dry_sclerophyll heath woodland,drysclerophyllforest heath woodland,,,,,sand,sands,,
Caesia parviflora var. minor,"Distribution and occurrence: South from Corindi area.NSW subdivisions: NC, NT, CT, CWS Other Australian states: Vic. Tas.Threatened species: NSW BCA: Endangered This variety is considered data-deficient by  Saving our Species  (SoS, DPIE) which means a conservation project cannot be developed for it. Visit their website and contact SoS if you have additional information.", south from corindi area  ,,,,,,,,,,,,,,,,,,,,
Caesia parviflora var. parviflora,"Distribution and occurrence: West to Bingara district.NSW subdivisions: NC, CC, SC, NT, CT, NWS, SWS Other Australian states: Qld Vic. Tas. W.A. S.A.", west to bingara district  ,,,,,,,,,,,,,,,,,,,,
Caesia parviflora var. vittata,"Distribution and occurrence: Grows inland to Bathurst.NSW subdivisions: NC, CC, SC, NT, CT Other Australian states: Qld Vic.", grows inland to bathurst  ,,,,,,,,,,,,,,,,,,,,
Corynotheca licrota,"Distribution and occurrence: Usually grows in low rainfall areas on sandy plains.NSW subdivisions: NWP, NFWP, SFWP Other Australian states: Qld Vic. W.A. S.A. N.T. flowering is probably influenced by specific daily conditions, especially heat, so they may close early unless conditions are favourable. The seasonality of flowering appears to be heavily influenced by rainfall and soil moisture.", usually grows in low rainfall areas on sandy plainss  ,,,,,,,,,plains,plainss,plains,plains,,,,,sand,sandy,,
Dianella admixta,"Distribution and occurrence: NSW subdivisions: NWS, SWS, NWP Other Australian states: Vic. This is part of the D. revoluta complex, and may not be distinct from D. revoluta var. revoluta.",   ,,,,,,,,,,,,,,,,,,,,
Dianella brevicaulis,"Distribution and occurrence: South from Merimbula on the far South Coast; also in coastal Vic, Tas, SA and WA. Grows in a variety of coastal, near-coastal and lakeside habitats.NSW subdivisions: SC Other Australian states: Vic. Tas. S.A. W.A.", south from merimbula on the far south coast also in coastal vic tas sa and wa grows in a variety of coastal nearcoastal and lakeside habitats  ,,,,,,,,,coastal,coastal,,,,,,,,,,
Dianella brevipedunculata,Distribution and occurrence: Extreme NE NSW coast (Tweed Shire); also SE Queensland.  Open forest.NSW subdivisions: NC Other Australian states: Qld, extreme ne nsw coast tweed shire also se queensland  openforest  ,,,,,,,,,,,forest_open,openforest,,,,,,,,
