Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution
Cheilanthes austrotenuifolia,field_resistant,Cheilanthes austrotenuifolia,Cheilanthes austrotenuifolia,Pteridaceae,"WA, SA, NSW, ACT, Vic, Tas"
Helichrysum macranthum,field_resistant,Xerochrysum macranthum,Xerochrysum macranthum,Asteraceae,WA
Olearia sp. aff. axillaris (Stirling Range),field_resistant,Olearia sp. [Olearia sp. aff. axillaris (Stirling Range)],NA,Asteraceae,NA
Hibbertia humifusa,field_resistant,Hibbertia humifusa,Hibbertia humifusa,Dilleniaceae,Vic
Drosera huegelii,field_resistant,Drosera huegelii,Drosera huegelii,Droseraceae,WA
Dillwynia sp. A,field_resistant,Dillwynia rupestris,Dillwynia rupestris,Fabaceae,NSW
Dampiera fasciculata,field_resistant,Dampiera fasciculata [alternative possible names: Dampiera stricta (pro parte misapplied)],Dampiera fasciculata,Goodeniaceae,WA
Synoum glandulosum subsp. paniculatum,field_resistant,Synoum glandulosum subsp. paniculosum,Synoum glandulosum subsp. paniculosum,Meliaceae,Qld
Acacia browniana var. intermedia,field_resistant,Acacia browniana var. intermedia,Acacia browniana var. intermedia,Fabaceae,WA
Eucalyptus erectifolia,field_resistant,Eucalyptus erectifolia,Eucalyptus erectifolia,Myrtaceae,WA
Eucalyptus preissiana,field_resistant,Eucalyptus preissiana,Eucalyptus preissiana,Myrtaceae,WA
Eucalyptus talyuberlup,field_resistant,Eucalyptus talyuberlup,Eucalyptus talyuberlup,Myrtaceae,WA
Melaleuca microphylla,field_resistant,Melaleuca microphylla,Melaleuca microphylla,Myrtaceae,"WA, SA (naturalised)"
Waterhousia unipunctata,field_resistant,Syzygium unipunctatum,Syzygium unipunctatum,Myrtaceae,Qld
Chionanthus axillaris,field_resistant,Chionanthus axillaris,Chionanthus axillaris,Oleaceae,Qld
Pterostylis vittata,field_resistant,Pterostylis vittata,Pterostylis vittata,Orchidaceae,WA
Pterostylis aff. nana,field_resistant,Pterostylis angulata,Pterostylis angulata,Orchidaceae,WA
Thelymitra pauciflora s.l.,field_resistant,Thelymitra pauciflora [alternative possible names: Thelymitra albiflora (pro parte misapplied) | Thelymitra arenaria (pro parte misapplied) | Thelymitra batesii (pro parte misapplied) | Thelymitra bracteata (pro parte misapplied) | Thelymitra brevifolia (pro parte misapplied) | Thelymitra crenulata (pro parte misapplied) | Thelymitra cyanapicata (pro parte misapplied) | Thelymitra exigua (pro parte misapplied) | Thelymitra inflata (pro parte misapplied) | Thelymitra latifolia (pro parte misapplied) | Thelymitra malvina (pro parte misapplied) | Thelymitra odora (pro parte misapplied) | Thelymitra pallidifructus (pro parte misapplied) | Thelymitra peniculata (pro parte misapplied) | Thelymitra brevifolia (misapplied) | Thelymitra vulgaris (misapplied)],Thelymitra pauciflora,Orchidaceae,"Qld, NSW, ACT, Vic, Tas"
Agrostis aemula,field_resistant,Lachnagrostis aemula,Lachnagrostis aemula,Poaceae,"WA, SA, Qld, NSW, LHI, ACT, Vic, Tas"
Amphipogon laguroides s.l.,field_resistant,Amphipogon laguroides,Amphipogon laguroides,Poaceae,WA
Poa porphyroclados,field_resistant,Poa porphyroclados,Poa porphyroclados,Poaceae,WA
Stenocarpus sinuatus,field_resistant,Stenocarpus sinuatus,Stenocarpus sinuatus,Proteaceae,"Qld, NSW"
Stylidium spinulosum subsp. montanum,field_resistant,Stylidium spinulosum subsp. montanum,Stylidium spinulosum subsp. montanum,Stylidiaceae,WA
Stylidium sp. Stirling Range,field_resistant,Stylidium bellum,Stylidium bellum,Stylidiaceae,WA
Platysace sp. Stirling,field_resistant,Platysace sp. Stirling (J.M.Fox 88/262),Platysace sp. Stirling (J.M.Fox 88/262),Apiaceae,WA
Hibbertia glomerata s.l.,highly_susceptible,Hibbertia glomerata,Hibbertia glomerata,Dilleniaceae,WA
Acrotriche patula,highly_susceptible,Acrotriche patula,Acrotriche patula,Ericaceae,"WA, SA"
Andersonia bifida,highly_susceptible,Andersonia bifida,Andersonia bifida,Ericaceae,WA
Andersonia carinata,highly_susceptible,Andersonia carinata,Andersonia carinata,Ericaceae,WA
Andersonia longifolia,highly_susceptible,Andersonia longifolia,Andersonia longifolia,Ericaceae,WA
Andersonia macranthera,highly_susceptible,Andersonia macranthera,Andersonia macranthera,Ericaceae,WA
Andersonia setifolia,highly_susceptible,Andersonia setifolia,Andersonia setifolia,Ericaceae,WA
Astroloma foliosum,highly_susceptible,Styphelia foliosa,Styphelia foliosa,Ericaceae,WA
Astroloma sp. Cataby (EA Griffin 1022),highly_susceptible,Styphelia oblongifolia,Styphelia oblongifolia,Ericaceae,WA
Astroloma sp. Eneabba (N Marchant s.n.),highly_susceptible,Astroloma sp. Eneabba (N.Marchant s.n. PERTH 01291777),NA,Ericaceae,NA
Astroloma sp. Mt Lindesay,highly_susceptible,Astroloma sp. [Astroloma sp. Mt Lindesay],NA,Ericaceae,NA
Astroloma sp. 2504,highly_susceptible,Astroloma sp. [Astroloma sp. 2504],NA,Ericaceae,NA
Coleanthera coelophylla,highly_susceptible,Styphelia coelophylla,Styphelia coelophylla,Ericaceae,WA
Conostephium minus,highly_susceptible,Conostephium minus,Conostephium minus,Ericaceae,WA
Epacridaceae gen. nov. (aff. Melichrus),highly_susceptible,NA,NA,NA,NA
Leucopogon amplectens,highly_susceptible,Leucopogon amplectens,Leucopogon amplectens,Ericaceae,WA
Leucopogon apiculatus,highly_susceptible,Leucopogon apiculatus,Leucopogon apiculatus,Ericaceae,WA
Leucopogon blepharolepis,highly_susceptible,Styphelia blepharolepis,Styphelia blepharolepis,Ericaceae,WA
Leucopogon bracteolaris,highly_susceptible,Leucopogon bracteolaris,Leucopogon bracteolaris,Ericaceae,WA
Leucopogon brevicuspis,highly_susceptible,Styphelia brevicuspis,Styphelia brevicuspis,Ericaceae,WA
Leucopogon breviflorus,highly_susceptible,Styphelia breviflora,Styphelia breviflora,Ericaceae,WA
Leucopogon cordifolius,highly_susceptible,Styphelia cordifolia,Styphelia cordifolia,Ericaceae,"WA, SA, Vic"
Leucopogon cryptanthus,highly_susceptible,Leucopogon cryptanthus,Leucopogon cryptanthus,Ericaceae,WA
Leucopogon denticulatus,highly_susceptible,Leucopogon denticulatus,Leucopogon denticulatus,Ericaceae,WA
Leucopogon florulentus,highly_susceptible,Leucopogon florulentus,Leucopogon florulentus,Ericaceae,WA
Leucopogon glaucifolius,highly_susceptible,Styphelia glaucifolia,Styphelia glaucifolia,Ericaceae,WA
Leucopogon interruptus,highly_susceptible,Leucopogon interruptus,Leucopogon interruptus,Ericaceae,WA
Leucopogon marginatus E,highly_susceptible,Styphelia marginata,Styphelia marginata,Ericaceae,WA
Leucopogon multiflorus,highly_susceptible,Styphelia multiflora,Styphelia multiflora,Ericaceae,WA
