Species recorded,13-Apr,13-Apr,13-Apr,13-Apr,14-Dec,14-Dec,14-Dec,17-May,17-May,17-May,17-May,Disturbance response,Palatable
,IT1,IT2,OT1,OT2,IT1,IT2,OT1,IT1,IT2,OT1,OT2,,
Acacia euthycarpa ,0,0,110,0,20,0,0,30,0,0,0,,
Acacia ligulata ,0,0,0,0,20,30,10,60,150,90,220,Yes,
Alyxia buxifolia ,0,0,60,0,10,0,0,0,0,0,10,,
Amphipogon caricinus,0,0,0,0,15,0,0,0,0,0,0,,
Angianthus preissianus,0,0,0,0,0,0,15,0,0,0,0,,
Austrostipa sp,0,0,0,0,185,590,0,0,0,0,0,Yes,Yes
Austrostipa sp 2 (cane grass),0,0,0,0,135,365,0,0,0,0,0,Yes,Yes
Billardiera sericophylla,0,0,0,0,0,0,0,0,0,30,0,,
Billardiera versicolor,0,0,0,0,2,0,0,0,0,0,0,,
Boronia coerulescens,0,0,0,0,0,5,0,0,0,0,0,,
Calytrix tetragona ,150,110,30,12,17,14,31,180,200,480,260,Yes,No
Cassytha melantha,0,0,0,0,2,0,0,20,0,0,0,,
Comesperma scoparia,0,0,20,0,0,0,0,0,0,20,20,,
Crassula tetramera/closiana,0,0,0,0,10,0,0,0,0,0,0,,
Cryptandra,30,0,0,0,0,0,0,0,0,0,0,,
Dampiera rosmanifolia ,0,0,0,0,0,35,0,0,70,0,0,,
Dianella revoluta ,20,270,0,0,8,20,0,0,30,0,0,,
Dicrastylis verticillata,0,0,0,0,0,0,10,0,0,10,0,Yes,No
Dodonaea baueri,0,0,0,0,0,0,10,0,0,0,0,Yes,No
Dodonaea bursarifolia ,20,10,0,0,0,0,0,100,100,60,0,,
Dodonaea hexandra,0,0,140,180,15,7,186,270,90,1020,740,Yes,No
Eremophila crassifolia ,0,80,0,36,278,122,326,410,260,520,810,Yes,No
Eremophila glabra,0,0,0,0,0,5,0,0,0,0,10,,
Eucalyptus calcarea ,210,1520,160,0,970,670,0,0,280,0,0,,
Eucalyptus incrassata ,700,1190,1770,1080,395,550,880,1580,1000,1140,250,,
Eucalyptus socialis ,1030,1350,310,0,95,475,290,640,820,0,0,,
Eutaxia microphylla ,0,80,0,0,39,80,0,300,290,10,40,Yes,Yes
Gahnia lanigera,20,0,0,0,0,0,20,20,0,0,0,,
Goodenia varia ,0,10,0,0,2,30,0,10,230,0,0,Yes,Yes
Goodenia willisiana ,0,0,0,0,187,133,0,500,380,110,50,Yes,Yes
Grevillia heugelli ,0,0,50,0,0,0,0,0,0,0,0,,
Gyrostemon australasicus,0,0,0,0,0,0,20,0,0,0,0,,
Hakea francissiana ,0,200,0,288,2,10,0,30,30,0,40,,
Halgania cyanea ,0,0,0,0,268,359,15,540,800,0,20,Yes,Yes
Helichrysum leucopsideum ,0,0,0,0,0,0,0,20,10,10,10,,
Lasiopetalum behrii ,0,0,0,0,8,15,0,10,0,0,0,,
Lepidosperma viscidum ,110,150,0,0,25,25,0,80,0,0,0,,
Lomandra collina ,0,0,10,0,8,10,0,110,50,0,0,Yes,Yes
Lomandra leucocephala ,0,60,0,0,,100,0,30,0,0,0,,
Melaleuca lanceolata ,750,240,0,0,130,0,0,200,210,0,0,,
Myoporum platycarpa ,0,0,260,24,57,20,683,110,10,720,190,,
Olearia decurrens ,0,0,70,0,0,0,0,0,10,0,0,,
Olearia lepidophylla ,0,0,0,0,0,0,0,0,0,0,60,Yes,No
Olearia muelleri,0,0,40,0,0,0,0,0,0,0,0,,
Opercularia turpis ,0,0,0,0,199,30,0,210,60,30,30,Yes,Yes
Ozothamnus,0,0,0,0,0,0,0,0,50,0,0,,
Phebalium bullatum ,0,0,0,0,0,0,0,0,0,30,30,Yes,No
Podolepis capillaris ,0,110,50,18,25,144,190,0,0,110,0,,
Podotheca angustifolia ,0,0,0,0,2,5,10,0,0,0,0,Yes?,
Prostanthera serpylifolia ,0,0,0,0,63,0,0,160,20,30,20,Yes,Yes
Rhagodia parabolica ,0,80,0,0,10,35,0,20,0,0,0,,
Santalum species,0,0,0,0,0,0,0,0,0,10,0,,
Sclerolaena parviflora,0,0,0,0,0,35,0,0,0,0,0,,
Schoenus aphyllus,0,0,0,0,0,0,8,0,0,10,0,,
Solanum capsiciforme ,0,0,0,0,15,0,0,0,0,0,0,Yes,No
Solanum esurale ,0,0,0,0,0,0,67,0,0,60,80,,
Spyridium stenophyllum,0,0,0,0,0,0,0,0,0,20,0,,
Stipa species,0,0,0,0,0,0,0,0,50,10,0,,
Thysanotus pattersonii,0,0,0,0,2,10,0,0,10,0,10,,
Triodia sp.,1040,1370,1560,1356,249,79,21,670,470,30,20,Yes,Yes
Total cover,4080,6830,4640,2994,3468,4008,2792,6310,5680,4560,2920,,
