Species name adjusted,Species name,Common name,Group,EPBC Act status,IUCN threat level 1,IUCN threat level 1 description,IUCN threat level 2 (or finest level available),IUCN threat level 2 description (or finest level available),IUCN threat level 3 (or finest level available),IUCN threat level 3 description (or finest level available),Broad level threat,Sub category threat,Timing,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,Expert threat notes
Acacia aprica,Acacia aprica,Blunt wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Large-fruited tammin wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia auratiflora,Acacia auratiflora,Orange-flowered wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia awestoniana,Acacia awestoniana,Stirling range wattle,Plants,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia brachypoda,Acacia brachypoda,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia cochlocarpa subsp. velutinosa,Acacia cochlocarpa subsp. velutinosa,NA,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia cretacea,Acacia cretacea,Chalky wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia glandulicarpa,Acacia glandulicarpa,Hairy-pod wattle,Plants,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
