Scientific Name,Native,Susceptibility,Susceptibility_numeric_approx,Susceptibilty_binary,Observation,References,Synonyms
Acca sellowiana,N,R,1,0,I,Morin et al. 2012,
Agonis flexuosa,Y,H,5,1,NI,Giblin and Carnegie 2014; Pegg et al. 2014,
Allosyncarpia ternata,Y,L-M,3.5,1,I,Morin et al. 2012,
Angophora costata,Y,R-H,3,0,I,Morin et al. 2012,
Angophora floribunda,Y,L-H,4,1,NI,Morin et al. 2012,
Angophora subvelutina,Y,S*,4,1,N,Giblin and Carnegie 2014,
Archirhodomyrtus beckleri,Y,M,4,1,N,Pegg et al. 2014,
Asteromyrtus brassii,Y,M,4,1,N,Pegg et al. 2014,
Asteromyrtus magnifica,Y,R-H,3,0,I,Morin et al. 2012,
Austromyrtus dulcis,Y,M-H,4.5,1,NI,Morin et al. 2012; Giblin and Carnegie 2014,
Austromyrtus dulcis x tenuifolia 'copper tops',H,S*,4,1,N,NSW BioAtlas: Myrtle Rust Records,
Austromyrtus sp.,Y,M-H,4.5,1,NI,"Pegg, unpublished data",
Austromyrtus sp. Lockerbie scrub,Y,M,4,1,N,Pegg et al. 2014,
Austromyrtus tenuifolia,Y,M,4,1,N,Pegg et al. 2014,
Backhousia angustifolia,Y,M,4,1,N,Pegg et al. 2014,
Backhousia bancroftii,Y,M,4,1,N,Pegg et al. 2014,
Backhousia citriodora,Y,R-H,3,0,NI,"Sandu and Park 2013; Giblin and Carnegie, 2014",Leptospermum citriodora
Backhousia enata,Y,S*,4,1,N,Giblin and Carnegie 2014,
Backhousia gundarara,Y,M,4,1,N,Pegg et al. 2014,
Backhousia hughesii,Y,M,4,1,N,Pegg et al. 2014; Pegg Mt Cootha 2016,
Backhousia leptopetala,Y,H,5,1,N,Pegg et al. 2014,Choricarpia leptopetala
Backhousia myrtifolia,Y,R-H,3,0,NI,Morin et al. 2012; Pegg et al. 2014,
Backhousia oligantha,Y,H,5,1,N,Pegg et al. 2014; Pegg Mt Cootha 2016,
Backhousia sciadophora,Y,M,4,1,N,Pegg et al. 2014,
