taxon_name,common_name,EPBC Act status,grass_threat,Notes
Acacia praetermissa,wattle shrub,VU,-,High intensity fire which high biomass grasses may facilitate
Atalaya brevialata,shrub,CR,"gamba grass, mission grasses",Conservation Advice. Potential threat via changes in fire regimes.
Burmannia sp. Bathurst Island (R.Fensham 1021) ,leafless plant,EN,-,Conservation Advice. Inappropriate fire regimes from invasive grasses.
Calophyllum bicolor,tree,VU,-,Conservation Advice. Exotic grasses possible threat via inappropriate fire regimes.
Clausena excavata,shrub,CR,"gamba grass, mission grasses",Conservation Advice. High intensity fires due to invasive pasture grasses
Cyathea exilis,tree fern,EN,gamba grass,Cape York NRM (2011).  Competition and high intensity fires.
Cyperus cephalotes,sedge,EN,para grass,Conservation Advice
Dodonaea rupicola,velvet hopbush,VU,mission grasses,SPRAT
Elaeocarpus miegei,tree,EN,"gamba grass, mission grasses","Conservation Advice. Change in fire regime following grass invasion, and positive feedback"
Eleocharis retroflexa,sedge,VU,"hymenachne, para grass",KTP listing advice
Eriocaulon carsonii,"salt pipewort, button grass",EN,"hymenachne, para grass",Fensham et al. (2010)
Eryngium fontanum,blue devil ,EN,"hymenachne, para grass",Fensham et al. (2010)
Eucalyptus raveretiana,black ironbox,VU,-,Conservation Advice. Potential threat increased fire frequency from fuel associated with introduced grasses. 
Erythroxylum sp. Cholmondely Creek (J.R.Clarkson 9367),small shrub,VU,"gamba grass, para grass",Conservation Advice. Altered fire regimes from invasive grasses a low threat.
Fimbristylis adjuncta,sedge,EN,hymenachne,Conservation Advice
Helicteres macrothrix,shrub,EN,"gamba grass, mission grasses","Crowley (2008); Woinarski et al. (2007) Change in fire regime, soil hydrology and nitrogen."
Hibiscus brennanii,shrub,VU,-,"Potential threat, inappropriate fire regimes from invasive grasses."
Hibiscus cravenii,shrub,VU,-,"Potential threat, inappropriate fire regimes from invasive grasses."
Tarennoidea wallichii,small tree,EN,"gamba grass, mission grasses","Conservation Advice and NT DEPWS 2021. Invasive grasses change fire regimes, community structure, soil chemistry. Also interactive impacts of hydrological and land system modification."
Typhonium jonesii,herb,EN,"gamba grass, mission grasses",Conservation advice
Typhonium mirabile,herb,EN,"gamba grass, mission grasses",Conservation Advice
Typhonium taylori,small arum lily-like plant,EN,para grass,Crowley (2008)
Xylopia monosperma,shrub,EN,"gamba grass, mission grasses",Listing Advice
