flora_term,match_term,austraits_trait_value,trait_name,sort
coastal districts,coastaldistricts,XX,00_XX,1
lost to agricultural ,losttoagricultural,XX,00_XX,1
not common,notcommon,XX,00_XX,1
not uncommon,notuncommon,XX,00_XX,1
not widespread  ,notwidespread  ,XX,00_XX,1
semi-aquatic,semiaquatic,semiaquatic,01_plant_growth_substrate,10
sometimes epiphytic,sometimesepiphytic,epiphyte_sometimes,01_plant_growth_substrate,20
shallow fresh water,shallowfreshwater,aquatic,01_plant_growth_substrate,30
aquatic,aquatic,aquatic,01_plant_growth_substrate,100
lithophytic,lithophytic,lithophyte,01_plant_growth_substrate,100
known from a single locality,knownfromasinglelocality,single_location,02_commonness,1
locally abundant,locallyabundant,abundant_locally,02_commonness,10
locally common,locallycommon,common_locally,02_commonness,50
highly localised,highlylocalised,highly_localised,02_commonness,50
very rare,veryrare,very_rare,02_commonness,50
widely distributed,widelydistributed,widespread,02_commonness,50
abundant,abundant,abundant,02_commonness,100
common,common,common,02_commonness,100
localised,localised,localised,02_commonness,100
rare,rare,rare,02_commonness,100
scattered,scattered,scattered,02_commonness,100
sparingly,sparingly,scattered,02_commonness,100
uncommon,uncommon,uncommon,02_commonness,100
widespread,widespread,widespread,02_commonness,100
waterlogged in winter,waterlogged in winter,winterwet,03_habitat_moisture,30
seasonally moist,seasonallymoist,moist_seasonal,03_habitat_moisture,50
winter-damp ,winterdamp ,wintermoist,03_habitat_moisture,50
winter damp ,winterdamp ,wintermoist,03_habitat_moisture,50
winter-wet,winterwet,winterwet,03_habitat_moisture,50
winter wet,winterwet,winterwet,03_habitat_moisture,50
swamp,swamp,wet,03_habitat_moisture,100
swampy,swampy,wet,03_habitat_moisture,100
water logged,waterlogged,wet,03_habitat_moisture,100
waterlogged,waterlogged,wet,03_habitat_moisture,100
water-logged,waterlogged,wet,03_habitat_moisture,100
waterlogged,waterlogged,wet,03_habitat_moisture,100
winterdamp ,winterdamp ,wintermoist,03_habitat_moisture,100
winterwet,winterwet,winterwet,03_habitat_moisture,100
arid,arid,dry,03_habitat_moisture,500
drier,drier,dry,03_habitat_moisture,500
dry,dry,dry,03_habitat_moisture,500
damp,damp,moist,03_habitat_moisture,500
moist,moist,moist,03_habitat_moisture,500
mud,mud,moist,03_habitat_moisture,500
semiarid,semiarid,semiarid,03_habitat_moisture,500
inundated,inundated,wet,03_habitat_moisture,500
boggy,boggy,wet,03_habitat_moisture,500
seepage,seepage,wet,03_habitat_moisture,500
water,water,wet,03_habitat_moisture,500
waterfall,waterfall,wet,03_habitat_moisture,500
wet,wet,wet,03_habitat_moisture,500
tops of\\s+(\\w+\\s+)?mountains,topsofmountains,mountain_summit,04_habitat_topographic,5
high rocky ground,highrockygroundrocky,ridges,04_habitat_topographic,5
rocky limestone slopes,limestone rockyslopes,slopes_rocky,04_habitat_topographic,5
steep rocky slope,steeprockyslope,slopes_rocky slopes_steep,04_habitat_topographic,5
gently undulating topography,gentlyundulatingtopography,undulating,04_habitat_topographic,5
low-lying areas,low-lyingareas,depressions,04_habitat_topographic,10
high rocky ground,highgroundrocky,high_ground,04_habitat_topographic,15
lower slopes of mountain,lowerslopesofmountain,mountains_lower_slopes,04_habitat_topographic,15
slopes of mesa,slopesofmesa,slopes,04_habitat_topographic,20
coastal cliff,coastalcliff,cliffs_coastal,04_habitat_topographic,50
low-lying,lowlying,depressions,04_habitat_topographic,50
low lying,lowlying,depressions,04_habitat_topographic,50
frost hollow,frosthollow,depressions,04_habitat_topographic,50
drainage line,drainageline,drainages,04_habitat_topographic,50
lowlying area,lowlyingarea,flats,04_habitat_topographic,50
river flat,riverflat,flats,04_habitat_topographic,50
winterwet flat,winterwetflat,flats inundated_intermittent,04_habitat_topographic,50
runoff channel,runoffchannel,gullies,04_habitat_topographic,50
sheltered gullies,shelteredgullies,gullies_sheltered,04_habitat_topographic,50
steep gullies,steepgullies,gullies_steep,04_habitat_topographic,50
gully heads,gullyheads,gully_heads,04_habitat_topographic,50
shallowly inundated,shallowlyinundated,inundated_shallow,04_habitat_topographic,50
flat country,flatcountry,plains,04_habitat_topographic,50
mountain ledge,mountainledge,rock_ledge,04_habitat_topographic,50
rocky slope,rockyslope,slopes_rocky,04_habitat_topographic,50
steep slope,steepslope,slopes_steep,04_habitat_topographic,50
near streams,nearstreams,streams,04_habitat_topographic,50
undulating topography,undulatingtopography,undulating,04_habitat_topographic,50
river valley,rivervalley,valley,04_habitat_topographic,50
breakaway,breakaway,breakaways,04_habitat_topographic,100
cliff,cliff,cliff,04_habitat_topographic,100
cliff face,cliffface,cliff,04_habitat_topographic,100
cliffface,cliffface,cliff,04_habitat_topographic,100
coastal,coastal,coastal,04_habitat_topographic,100
nearcoatal,nearcoatal,coastal,04_habitat_topographic,100
lowlying ,lowlying ,depression,04_habitat_topographic,100
depressions,depressions,depressions,04_habitat_topographic,100
channels,channels,drainages,04_habitat_topographic,100
drainages,drainages,drainages,04_habitat_topographic,100
cliffline,cliffline,escarpment,04_habitat_topographic,100
escarpment,escarpment,escarpment,04_habitat_topographic,100
flat,flat,flats,04_habitat_topographic,100
gorges,gorges,gorges,04_habitat_topographic,100
gullies,gullies,gullies,04_habitat_topographic,100
gully,gully,gullies,04_habitat_topographic,100
hill,hill,hills,04_habitat_topographic,100
hillside,hillside,hills,04_habitat_topographic,100
hilly,hilly,hills,04_habitat_topographic,100
mountain,mountain,mountains,04_habitat_topographic,100
plain,plains,plains,04_habitat_topographic,100
plateau,plateau,plateaus,04_habitat_topographic,100
plateaux,plateaux,plateaus,04_habitat_topographic,100
tableland,tableland,plateaus,04_habitat_topographic,100
ridgeline,ridgeline,ridges,04_habitat_topographic,100
ridge,ridge,ridges,04_habitat_topographic,100
ledge,ledge,rock_ledge,04_habitat_topographic,100
rockysite,rockysite,rocky,04_habitat_topographic,100
scree,scree,rocky,04_habitat_topographic,100
outcrop,outcrop,rocky_outcrop,04_habitat_topographic,100
seepage,seepage,seepages,04_habitat_topographic,100
slope,slope,slopes,04_habitat_topographic,100
streambank,streambank,streambanks,04_habitat_topographic,100
swale,swale,swales,04_habitat_topographic,100
rise,rise,swales,04_habitat_topographic,100
terrace,terrace,terraces,04_habitat_topographic,100
undulating,undulating,undulating,04_habitat_topographic,100
valley,valley,valley,04_habitat_topographic,100
watercourse,watercourse,watercourses,04_habitat_topographic,100
along creek,alongcreek,streambanks,04_habitat_topographic,500
along stream,alongstream,streambanks,04_habitat_topographic,500
creek bank,creekbank,streambanks,04_habitat_topographic,500
stream bank,streambank,streambanks,04_habitat_topographic,500
moist places in more open forest,moistplacesinmoreopenforest,forest_open,05_habitat,1
wet or dry sclerophyll forest,wetordrysclerophyllforest,forest_wet_sclerophyll forest_dry_sclerophyll,05_habitat,1
cool- and warm-temperate rainforest,cool-andwarm-temperaterainforest,rainforest_cool_temperate rainforest_warm_temperate,05_habitat,1
urban\\s[[:alpha:][:space:]]*parkland,urbanparkland,urban,05_habitat,1
dry or wet sclerophyll forest,dryorwetsclerophyllforest,forest_wet_sclerophyll forest_dry_sclerophyll,05_habitat,2
dry or wet sclerophyll woodland,dryorwetsclerophyllwoodland,woodland_wet_sclerophyll woodland_dry_sclerophyll,05_habitat,2
Eucalyptus wandoo woodland,Eucalyptus_wandoo_woodland,woodland_wandoo,05_habitat,3
cool temperate and warm temperate rainforest,cooltemperateandwarmtemperaterainforest,rainforest_cool_temperate rainforest_warm_temperate,05_habitat,5
