trait_name,value,plant_growth_form
plant_growth_form,basal_large,NA
plant_growth_form,climber,NA
plant_growth_form,climber_herbaceous,NA
plant_growth_form,climber_woody,NA
plant_growth_form,fern,NA
plant_growth_form,geophyte,NA
plant_growth_form,graminoid,1
plant_growth_form,graminoid_not_tussock,1
plant_growth_form,herb,0
plant_growth_form,hummock,1
plant_growth_form,lycophyte,NA
plant_growth_form,mallee,NA
plant_growth_form,palmoid,NA
plant_growth_form,shrub,NA
plant_growth_form,subshrub,NA
plant_growth_form,tree,NA
plant_growth_form,tussock,1
