trait_name,trait_value,pollinators_score
pollination_syndrome,insect,0
pollination_syndrome,bee,0
pollination_syndrome,bird,0
pollination_syndrome,wind,1
pollination_syndrome,self,0
pollination_syndrome,water,.8
pollination_syndrome,mammal,0
pollination_syndrome,abiotic,.8
pollination_syndrome,beetle,0
pollination_syndrome,fly,0
pollination_syndrome,moth,0
pollination_syndrome,butterfly,0
pollination_syndrome,bat,0
pollination_system,insect,0
pollination_system,wind,1
pollination_system,bee,0
pollination_system,water,.8
pollination_system,animal,0
pollination_syndrome,wasp,0
pollination_system,bird,0
pollination_system,moth,0
pollination_system,butterfly,0
pollination_system,bat,0
pollination_system,beetle,0
pollination_system,wasp,0
pollination_system,fly,0
pollination_system,thrip,0
pollination_syndrome,animal,0
pollination_syndrome,pollination_rare,0
pollination_syndrome,vertebrate,0
pollination_system,biotic_unspecialised,0
pollination_system,abiotic,.8
pollination_system,biotic_specialised,0
