Scientific Name,Common Name,Status,Date Listed,Profile Available
Acacia kingiana,,Extinct,16-Jul-00,Yes
Acianthus ledwardii,,Extinct,16-Jul-00,Yes
Amperea xiphoclada var. pedicellata,,Extinct,16-Jul-00,Yes
Amphibromus whitei,,Extinct,16-Jul-00,Yes
Caladenia brachyscapa,Short Spider-orchid,Extinct,16-Jul-00,No
Coleanthera virgata = Styphelia lanata,Hidden Coleanthera,Extinct,16-Jul-00,No
Deyeuxia lawrencei,,Extinct,16-Jul-00,Yes
Didymoglossum exiguum,,Extinct,16-Jul-00,Yes
Diuris bracteata,,Extinct,16-Jul-00,Yes
Euphrasia ruptura,subshrub,Extinct,16-Jul-00,No
Frankenia decurrens,Decurrent-leaved Frankenia,Extinct,16-Jul-00,No
Huperzia serrata,Water Tassel-fern,Extinct,16-Jul-00,No
Hymenophyllum lobbii,,Extinct,16-Jul-00,Yes
Hymenophyllum whitei,a filmy fern,Extinct,16-Jul-00,Yes
Lemmaphyllum accedens,,Extinct,16-Jul-00,Yes
Lepidium drummondii,Drummond's Lepidium,Extinct,16-Jul-00,No
Leucopogon cryptanthus,Small-flowered Leucopogon,Extinct,16-Jul-00,No
Lycopodium volubile = Pseudodiphasium volubile,,Extinct,16-Jul-00,Yes
Monogramma dareicarpa = Haplopteris dareicarpa,Grass Fern,Extinct,16-Jul-00,Yes
Musa fitzalanii,Daintree's River Banana,Extinct,16-Jul-00,Yes
Myriocephalus nudus,,Extinct,4-Jul-19,Yes
Olearia oliganthema,,Extinct,16-Jul-00,No
Opercularia acolytantha,Esperance Dog Weed,Extinct,16-Jul-00,Yes
Ozothamnus selaginoides,"Clubmoss Everlasting, Table Mountain Daisy Bush",Extinct,16-Jul-00,Yes
Paspalum batianoffii,,Extinct,16-Jul-00,Yes
Persoonia laxa,,Extinct,16-Jul-00,Yes
Persoonia prostrata,,Extinct,16-Jul-00,No
Pultenaea maidenii,Maiden's Bush-pea,Extinct,16-Jul-00,No
Senecio georgianus,Grey Groundsel,Extinct,16-Jul-00,Yes
Solanum bauerianum,Bridal Flower,Extinct,11-May-18,Yes
Tetratheca fasciculata,Cronin's Tetratheca,Extinct,16-Jul-00,Yes
Thomasia gardneri,Mt Holland Thomasia,Extinct,16-Jul-00,Yes
Tmesipteris lanceolata,,Extinct,16-Jul-00,No
Trianthema cypseleoides,,Extinct,16-Jul-00,Yes
Vanvoorstia bennettiana,Bennett's Seaweed,Extinct,16-Oct-01,No
Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,25-Nov-03,Yes
Acacia atrox,Myall Creek Wattle,Critically Endangered,6-Feb-26,Yes
Acacia blayana,Blay's Wattle,Critically Endangered,15-Nov-23,Yes
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,18-Aug-06,Yes
Acacia constablei,Narrabarba Wattle,Critically Endangered,31-Mar-23,Yes
Acacia dangarensis,,Critically Endangered,25-Sep-20,Yes
Acacia equisetifolia,a shrub,Critically Endangered,18-Aug-06,Yes
Acacia forsteri,Forster's Wattle,Critically Endangered,4-Sep-24,Yes
Acacia leptoneura,,Critically Endangered,24-Sep-15,Yes
Acacia lumholtzii,Girringun Wattle,Critically Endangered,6-Feb-26,Yes
Acacia prismifolia,Diels' Wattle,Critically Endangered,16-Jul-24,No
Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,24-Jan-14,Yes
Acacia unguicula,a shrub,Critically Endangered,18-Aug-06,Yes
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,27-Nov-06,Yes
Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,25-Nov-03,Yes
Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,25-Nov-03,Yes
Andersonia annelsii,,Critically Endangered,11-May-18,Yes
Andersonia axilliflora,Giant Andersonia,Critically Endangered,31-Mar-23,Yes
Androcalva adenothalia,,Critically Endangered,4-Jul-19,Yes
Androcalva beeronensis,,Critically Endangered,5-Sep-25,Yes
Androcalva bivillosa,Straggling Androcalva,Critically Endangered,11-May-18,Yes
Androcalva inglewoodensis,,Critically Endangered,5-Sep-25,Yes
Androcalva perkinsiana,Headland Commersonia,Critically Endangered,5-Oct-22,Yes
Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass,Critically Endangered,25-Nov-03,Yes
Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Critically Endangered,4-Nov-20,Yes
Asplenium listeri,Christmas Island Spleenwort,Critically Endangered,23-Jul-02,Yes
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Critically Endangered,5-Oct-22,Yes
Asterolasia beckersii,Dungowan Starbush,Critically Endangered,2-Mar-21,Yes
Asterolasia buxifolia,,Critically Endangered,7-Sep-23,Yes
Astrotricha sp. Howe Range (D.E.Albrecht 1054),Long-leaf Star-hair,Critically Endangered,4-Sep-24,Yes
Atalaya brevialata,,Critically Endangered,14-Dec-13,No
Austrostipa jacobsiana,,Critically Endangered,15-Feb-18,Yes
Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions",Critically Endangered,19-Aug-10,Yes
Backhousia tetraptera,,Critically Endangered,4-Sep-24,Yes
Banksia anatona,Cactus Dryandra,Critically Endangered,14-May-13,Yes
Banksia aurantia,Orange Dryandra,Critically Endangered,14-May-13,Yes
Banksia brownii,"Brown's Banksia, Feather-leaved Banksia",Critically Endangered,31-Mar-23,Yes
Banksia fuscobractea,Dark-bract Banksia,Critically Endangered,1-Dec-09,Yes
Banksia montana,Stirling Range Dryandra,Critically Endangered,5-Oct-22,Yes
Banksia paludosa subsp. astrolux,a banksia,Critically Endangered,4-Sep-24,Yes
Banksia serratuloides subsp. perissa,Northern Serrate Dryandra,Critically Endangered,14-May-13,Yes
Banksia vincentia,,Critically Endangered,15-Feb-18,Yes
Boehmeria australis subsp. australis = Pouzolzia australis,"Tree Nettle, Nettletree",Critically Endangered,25-Nov-03,Yes
Boronia boliviensis,,Critically Endangered,4-Sep-24,Yes
Boronia grimshawii,Grimshaw's Boronia,Critically Endangered,5-Sep-25,Yes
Boronia imlayensis,,Critically Endangered,4-Sep-24,Yes
Boronia inflexa subsp. torringtonensis,,Critically Endangered,7-Dec-21,Yes
Bossiaea fragrans,,Critically Endangered,11-May-18,Yes
Brachychiton guymeri,Blackwall Range Kurrajong,Critically Endangered,5-Mar-25,Yes
Brachychiton sp. Ormeau (L.H.Bird AQ435851),Ormeau Bottle Tree,Critically Endangered,9-Mar-13,Yes
Brachyscias verecundus,Ironstone Brachyscias,Critically Endangered,18-Aug-06,Yes
Brachyscome brownii,,Critically Endangered,16-Jul-24,Yes
Bruguiera x hainesii,Haines's Orange Mangrove,Critically Endangered,22-Feb-19,Yes
Caladenia actensis,Canberra Spider Orchid,Critically Endangered,6-Jun-05,Yes
Caladenia ancylosa,"Genoa Spider-orchid, Gippsland Spider Orchid",Critically Endangered,6-Feb-26,Yes
Caladenia anthracina,Black-tipped Spider-orchid,Critically Endangered,16-Oct-01,Yes
Caladenia attenuata,Duramana Fingers,Critically Endangered,11-May-18,Yes
Caladenia campbellii,"Thick-stem Caladenia, Thick-stem Fairy Fingers",Critically Endangered,16-Oct-01,Yes
Caladenia cremna,"Don's Spider Orchid, Beady Spider Orchid",Critically Endangered,12-Feb-10,Yes
Caladenia intuta,Ghost Spider-orchid,Critically Endangered,8-Jan-09,Yes
Caladenia lindleyana,Lindley's Spider-orchid,Critically Endangered,16-Oct-01,No
Caladenia lodgeana,Lodge's Spider-orchid,Critically Endangered,26-Feb-13,Yes
Caladenia luteola,Lemon Spider Orchid,Critically Endangered,15-Feb-18,Yes
Caladenia melanema,"Ballerina Orchid, Ballerina Spider Orchid",Critically Endangered,8-Jan-09,Yes
Caladenia pallida,"Rosy Spider Orchid, Pale Spider-orchid, Summer Spider-orchid",Critically Endangered,16-Oct-01,No
Caladenia procera,Carbunup King Spider Orchid,Critically Endangered,8-Jan-09,Yes
Caladenia pumila,Dwarf Spider-orchid,Critically Endangered,30-Sep-11,Yes
Caladenia saggicola,Sagg Spider-orchid,Critically Endangered,16-Oct-01,Yes
Caladenia sp. Kilsyth South (G.S.Lorimer 1253),Kilsyth South Spider-orchid,Critically Endangered,4-Oct-01,Yes
Caladenia sylvicola,Forest Fingers,Critically Endangered,16-Oct-01,No
Caladenia tonellii,Robust Fingers,Critically Endangered,16-Oct-01,No
Calectasia cyanea,Blue Tinsel Lily,Critically Endangered,18-Aug-06,Yes
