"Species","Family","la","ls","size","hw","life.span","cs","cim","vs","rp","seed.size","n2","n_mine","nm","om","em","am"
"Acacia drummondii","Fabaceae",2,2,3,"Normal","Perennial","No_organs","semi-woody dicots",0,"springish",3,"Yes","No",FALSE,FALSE,FALSE,TRUE
"Acacia pulchella","Fabaceae",1,2,5,"Normal","Perennial","No_organs","semi-woody dicots",0,"springish",3,"Yes","No",FALSE,FALSE,FALSE,TRUE
"Adenanthos barbiger","Proteaceae",3,3,4,"Skinny","Perennial","Organs","semi-woody dicots",0,"springish",4,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Agrostocrinum hirsutum","Hemerocallidaceae",3,2,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Amphipogon amphipogonoides","Poaceae",2,1,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Rytidosperma acerosum","Poaceae",3,1,4,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Austrostipa sp. 1","Poaceae",2,1,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Austrostipa sp. 2","Poaceae",2,1,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Banksia dallanneyi","Proteaceae",2,3,3,"Fat","Perennial","Organs","semi-woody dicots",1,"springish",4,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Banksia grandis","Proteaceae",4,3,5,"Skinny","Perennial","Organs","woody dicots with trunk and bark",0,"springish",5,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Banksia sessilis","Proteaceae",3,3,5,"Skinny","Perennial","No_organs","woody dicots with trunk and bark",0,"springish",5,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Boronia cymosa","Rutaceae",1,2,3,"Normal","Perennial","No_organs","semi-woody dicots",0,"winterish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Bossiaea eriocarpa","Fabaceae",2,2,4,"Fat","Perennial","Organs","semi-woody dicots",0,"springish",3,"Yes","No",FALSE,FALSE,FALSE,TRUE
"Bossiaea ornata","Fabaceae",3,2,4,"Fat","Perennial","Organs","semi-woody dicots",0,"springish",3,"Yes","No",FALSE,FALSE,FALSE,TRUE
"Bossiaea pulchella","Fabaceae",2,2,4,"Fat","Perennial","Organs","semi-woody dicots",0,"springish",3,"Yes","No",FALSE,FALSE,FALSE,TRUE
"Briza minor","Poaceae",3,1,3,"Skinny","Annual","No_organs","herbaceous monocots",1,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Briza maxima","Poaceae",3,1,3,"Skinny","Annual","No_organs","herbaceous monocots",1,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Caesia micrantha","Hemerocallidaceae",2,2,3,"Skinny","Perennial","Organs","herbaceous monocots",0,"springish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Caladenia flava","Orchidaceae",3,1,2,"Normal","Perennial","Organs","herbaceous monocots",0,"springish",1,"No","No",FALSE,TRUE,FALSE,FALSE
"Calytrix variabilis","Myrtaceae",1,2,4,"Skinny","Perennial","No_organs","semi-woody dicots",0,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Chamaescilla corymbosa","Hemerocallidaceae",4,1,2,"Fat","Perennial","Organs","herbaceous monocots",0,"winterish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Clematis pubescens","Ranunculaceae",2,2,5,"Skinny","Perennial","Organs","semi-woody dicots",0,"winterish",4,"No","No",FALSE,FALSE,FALSE,TRUE
"Conostylis setigera","Haemodoraceae",3,2,2,"Normal","Perennial","Organs","herbaceous monocots",2,"springish",2,"No","Yes",TRUE,FALSE,FALSE,FALSE
