forage_class,growth_form,goats_relative_preference,pasture_condition,season
browse,shrub,39,low,
forbs,herb,11,low,
grass,graminoid,50,low,
browse,shrub,38,high,
forbs,herb,7,high,
grass,graminoid,55,high,
browse,shrub,50,high,summer
forbs,herb,7,high,summer
grass,graminoid,43,high,summer
browse,shrub,58,low,summer
forbs,herb,14,low,summer
grass,graminoid,28,low,summer
browse,shrub,70,high,winter
forbs,herb,0,high,winter
grass,graminoid,30,high,winter
browse,shrub,91,low,winter
forbs,herb,0,low,winter
grass,graminoid,9,low,winter
browse,shrub,60,,
weeds,herb,20,,
grass,graminoid,20,,
