vial,stage,sp,rep,repeat,nm,ecto,hyp,ves,arb,total,total.am,arbuscles%,hyphae%,vesicles%,AM%,EM%
,B,Allocasuarina humilis,1,0,73,8,1,0,0,82,1,0,1.219512195,0,1.219512195,9.756097561
,B,Allocasuarina humilis,2,0,64,11,2,2,1,80,5,1.25,2.5,2.5,6.25,13.75
,B,Allocasuarina humilis,3,0,117,21,7,6,1,152,14,0.657894737,4.605263158,3.947368421,9.210526316,13.81578947
,B,Allocasuarina humilis,7,0,105,44,1,1,1,152,3,0.657894737,0.657894737,0.657894737,1.973684211,28.94736842
,B,Allocasuarina humilis,8,0,123,21,2,2,2,150,6,1.333333333,1.333333333,1.333333333,4,14
,B,Allocasuarina humilis,9,0,111,27,0,0,0,138,0,0,0,0,0,19.56521739
,B,Allocasuarina humilis,10,0,97,24,1,0,1,123,2,0.81300813,0.81300813,0,1.62601626,19.51219512
58,B,Allocasuarina humilis,11,0,47,5,47,44,12,155,103,7.741935484,30.32258065,28.38709677,66.4516129,3.225806452
59,B,Allocasuarina humilis,12,0,38,6,64,64,10,182,138,5.494505495,35.16483516,35.16483516,75.82417582,3.296703297
60,B,Allocasuarina humilis,13,0,125,4,10,10,2,151,22,1.324503311,6.622516556,6.622516556,14.56953642,2.649006623
61,B,Allocasuarina humilis,14,0,108,6,13,13,13,153,39,8.496732026,8.496732026,8.496732026,25.49019608,3.921568627
,B,Acacia pulchella,1,0,148,0,2,1,1,152,4,0.657894737,1.315789474,0.657894737,2.631578947,0
,B,Acacia pulchella,2,0,101,2,2,0,2,107,4,1.869158879,1.869158879,0,3.738317757,1.869158879
,B,Acacia pulchella,3,0,97,0,0,0,0,97,0,0,0,0,0,0
,B,Acacia pulchella,4,0,144,5,1,1,1,152,3,0.657894737,0.657894737,0.657894737,1.973684211,3.289473684
,B,Acacia pulchella,5,0,75,8,2,2,0,87,4,0,2.298850575,2.298850575,4.597701149,9.195402299
,B,Acacia pulchella,6,0,123,14,8,2,6,153,16,3.921568627,5.22875817,1.307189542,10.45751634,9.150326797
,B,Acacia pulchella,7,0,107,36,4,4,1,152,9,0.657894737,2.631578947,2.631578947,5.921052632,23.68421053
,B,Acacia pulchella,8,0,114,24,7,1,6,152,14,3.947368421,4.605263158,0.657894737,9.210526316,15.78947368
,B,Acacia pulchella,9,0,114,34,3,1,2,154,6,1.298701299,1.948051948,0.649350649,3.896103896,22.07792208
,B,Acacia pulchella,10,0,107,28,3,4,1,143,8,0.699300699,2.097902098,2.797202797,5.594405594,19.58041958
,B,Astroloma xerophyllum,1,0,136,47,0,0,0,183,0,0,0,0,0,25.68306011
,B,Astroloma xerophyllum,2,0,69,18,0,0,0,87,0,0,0,0,0,20.68965517
,B,Astroloma xerophyllum,3,0,105,15,0,0,0,120,0,0,0,0,0,12.5
,B,Astroloma xerophyllum,5,0,65,21,0,0,0,86,0,0,0,0,0,24.41860465
,B,Astroloma xerophyllum,8,0,79,12,0,0,0,91,0,0,0,0,0,13.18681319
,B,Astroloma xerophyllum,10,0,45,26,0,0,0,71,0,0,0,0,0,36.61971831
,B,Hibbertia hypericoides,1,0,83,11,0,0,0,94,0,0,0,0,0,11.70212766
,B,Hibbertia hypericoides,2,0,124,5,9,7,3,148,19,2.027027027,6.081081081,4.72972973,12.83783784,3.378378378
,B,Hibbertia hypericoides,4,0,76,2,4,5,2,89,11,2.247191011,4.494382022,5.617977528,12.35955056,2.247191011
,B,Hibbertia hypericoides,5,0,100,5,13,13,5,136,31,3.676470588,9.558823529,9.558823529,22.79411765,3.676470588
,B,Hibbertia hypericoides,6,0,68,6,3,2,1,80,6,1.25,3.75,2.5,7.5,7.5
,B,Hibbertia hypericoides,7,0,37,4,13,13,4,71,30,5.633802817,18.30985915,18.30985915,42.25352113,5.633802817
,B,Hibbertia hypericoides,8,0,70,0,0,0,0,70,0,0,0,0,0,0
,B,Hibbertia hypericoides,9,0,95,4,4,3,2,108,9,1.851851852,3.703703704,2.777777778,8.333333333,3.703703704
,B,Hibbertia hypericoides,10,0,110,1,0,0,0,111,0,0,0,0,0,0.900900901
55,B,Jacksonia floribunda,1,0,101,21,5,5,1,133,11,0.751879699,3.759398496,3.759398496,8.270676692,15.78947368
56,B,Jacksonia floribunda,2,0,87,12,13,13,6,131,32,4.580152672,9.923664122,9.923664122,24.42748092,9.160305344
