taxon_name,trait_name,trait_value,units,value_type,,,location,,,
Acacia rhamphophylla ,flower_shape,globular,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,flower_colour,yellow,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,flower_width,2.5,mm,minimum,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,flower_width,3,mm,maximum,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,leaf_colour,greyish-green,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,stem_colour,black,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,stem_hairiness,short_hairs,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,population_count,1,'{count}',raw,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,individual_count,1500,'{count}',raw,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,area_of_occupancy,5,ha,raw,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,habitat,shrub mallee,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,topographic_position,slopes,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,soil_type,sandy clay,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,geology,serpentine banded_iron_formation,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,disturbance_preference,disturbed mature_secondary,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,flowering_time,Aug-Sep,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,seed_production_capacity,high,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,disturbance_response,disturbance_opportunist,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,germination_stimulant,fire,,,,,Fitzerald River National Park,,,
Acacia rhamphophylla ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,leaf_colour,silver,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,leaf_lobation,lobed,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,leaf_lobe_count,3,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,leaf_arrangement,crowded,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,stem_hairiness,hairs_flattened,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,flower_length,11,mm,mean,,,Fitzerald River National Park,,,
Adenanthos dobagii ,flower_colour,cream pink,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,population_count,7,'{count}',raw,,,Fitzerald River National Park,,,
Adenanthos dobagii ,individual_count,125000,'{count}',raw,,,Fitzerald River National Park,,,
Adenanthos dobagii ,area_of_occupancy,21.9,km2,raw,,,Fitzerald River National Park,,,
Adenanthos dobagii ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,habitat,heath_open heath_low_shrubby mallee_open,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,topographic_position,low_lying,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,soil_type,sandy,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,phytophthora_cinnamomi_susceptibility,susceptible_presumed,,,,,Fitzerald River National Park,,,
Adenanthos dobagii ,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,leaf_length,2,cm,minimum,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,leaf_length,5,cm,maximum,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,leaf_width,5,mm,minimum,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,leaf_width,15,mm,maximum,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,plant_height,5,mm,maximum,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,flowers_per_inflorescence,1,'{count}',mean,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,flower_length,2,cm,minimum,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,flower_length,5,cm,maximum,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,flower_colour,orange red cream,,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,population_count,3,'{count}',raw,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,area_of_occupancy,0.31,km2,raw,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,individual_count,40000,'{count}',raw,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,geology,quartzite,,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,habitat,shrubland_dense,,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,soil_type,shallow siliceous humus_rich,,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,flowering_time,"Aug-Jan, Apr, May",,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,seed_bank_location,soil_seedbank,,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,reproductive_maturity,4,a,mean,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,storage_organ,none,,,,,Fitzerald River National Park,,,
Adenanthos ellipticus ,phytophthora_cinnamomi_susceptibility,susceptible_presumed,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,leaf_length,5,cm,minimum,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,leaf_length,20,cm,maximum,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,flower_length,30,mm,minimum,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,flower_length,45,mm,maximum,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,flower_colour,green,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,flowers_per_inflorescence,1,'{count}',mean,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,population_count,14,'{count}',raw,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,flowering_time,Aug-Oct,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,germination_stimulant,fire rain_heavy,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,sex_type,hermaphrodite,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,pollination_system,honeyeaters,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,reproductive_maturity,1,a,minimum,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,reproductive_maturity,2,a,maximum,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,phytophthora_cinnamomi_susceptibility,resistant_presumed,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,geology,granite,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,habitat,heathland,,,,,Fitzerald River National Park,,,
Anigozanthos bicolor subsp. minor,soil_type,moist sandy,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,plant_growth_form,subshrub,,,,,Fitzerald River National Park,,,
